site_id,site_name,owner,item_count,current_label,has_anonymous_links,external_guests,last_modified
S-001,Corporate Communications,Comms.Lead@leg.bc.ca,4820,Public,No,0,2025-11-03
S-002,ITD Project Plans,carlo.munoz@leg.bc.ca,12044,Internal,No,2,11/4/2025
S-003,HR Benefits Enrolment,hr.team@leg.bc.ca,1990,Confidential / All Employees,No,1,2025-10-28
S-004,Finance Draft Budgets,finance.ops@leg.bc.ca,3310,Highly Confidential / Specific People,No,0,Nov 1 2025
S-005,Hansard â€" Broadcast Ops,broadcast@leg.bc.ca,8771,Internal,Yes,4,2025/11/02
S-006,Legal Opinions Library,law.clerk@leg.bc.ca,640,Restricted,Yes,3,2025-11-05
S-007,Member Services Portal,member.support@leg.bc.ca,15320,,No,0,10/30/2025
S-008,Vendor Contracts (active),procurement@leg.bc.ca,2055,Confidential / Anyone (not protected),No,6,2025-11-04
S-009,IT Security Runbooks,rob.ashbourne@leg.bc.ca,1208,Confidential,No,0,2025-11-01
S-010,Committee Closed Sessions,clerk.committees@leg.bc.ca,930,Restricted,No,1,2025-11-06
S-011,General Staff Share,allstaff@leg.bc.ca,42110,Internal,Yes,11,2025-10-22
S-012,Constituency Office Files,co.admin@leg.bc.ca,7740,Confidential / Trusted People,No,2,2025-11-03
S-013,ITD Project Plans,Carlo.Munoz@leg.bc.ca ,12051,Internal,No,2,2025-11-04
S-014,Payroll Records,payroll@leg.bc.ca,880,Highly Confidential / All Employees,No,0,2025-10-19
S-015,Public Job Postings,recruitment@leg.bc.ca,205,General,No,0,2025-11-02
S-016,Audit and Review Findings,internal.audit@leg.bc.ca,470,Confidential,No,0,2025-11-04
S-017,Leadership Briefing Notes,clerk.office@leg.bc.ca,355,Internal,No,0,2025-11-05
S-018,Training Materials,training@leg.bc.ca,3900,Internal,No,1,2025-10-31
S-019,Network Diagrams and Plans,infra.team@leg.bc.ca,1140,Internal,Yes,0,2025-11-01
S-020,Personnel Reorg Planning,chro.office@leg.bc.ca,210,Confidential,No,0,2025-11-06
S-021,Expense Claims Archive,finance.ops@leg.bc.ca,6620,Internal,No,0,10/15/2025
S-022,Old Records (pre-2015),records@leg.bc.ca,28900,,Yes,0,2014-12-30
S-023,Media Releases Approved,Comms.Lead@leg.bc.ca,1410,Public,No,0,2025-11-04
S-024,Incident Response Active,soc@leg.bc.ca,95,Restricted,No,0,2025-11-06
TOTAL (as reported by ITD admin),,,196900,,,,
